"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"1706","BLAND ","VA ",1,1,"49100",2936,29,0.987738419618529
"1707","BOTETOURT ","VA ",3,1,"49110",56738,79,0.139236490535444
"1708","BUCKINGHAM ","VA ",0,0,"49140",15183,0,0
"1709","BUENA VISTA CITY ","VA ",0,0,"49141",10056,0,0
"1710","CHARLES CITY ","VA ",0,0,"49180",3354,0,0
"1711","CHARLOTTESVILLE CITY ","VA ",1,0,"49191",69984,11,0.0157178783721994
"1712","CHESAPEAKE CITY ","VA ",1,1,"49194",504168,124,0.0245949762777487
"1713","COLONIAL HEIGHTS CIT ","VA ",0,0,"49212",16756,0,0
"1714","COVINGTON CITY ","VA ",1,1,"49213",16475,17,0.103186646433991
"1715","CULPEPER ","VA ",0,0,"49230",64449,0,0
"1716","DANVILLE CITY ","VA ",2,0,"49241",122958,79,0.0642495811577937
"1717","DICKENSON ","VA ",2,2,"49250",8348,449,5.37853378054624
"1718","DINWIDDIE ","VA ",1,1,"49260",10251,32,0.31216466686177
"1720","FAIRFAX ","VA ",6,1,"49290",5456232,5767,0.105695652237661
"1719","FAIRFAX CITY ","VA ",1,1,"49288",69396,164,0.236324860222491
"1721","FALLS CHURCH CITY ","VA ",1,1,"49291",5546,95,1.71294626758024
"1722","FAUQUIER ","VA ",2,0,"49300",57656,42,0.0728458443180241
"1723","FLUVANNA ","VA ",0,0,"49320",15392,0,0
"1724","FRANKLIN CITY ","VA ",0,0,"49328",10416,0,0
"1725","FREDERICKSBURG CITY ","VA ",0,0,"49342",55230,0,0
"1726","GALAX CITY ","VA ",0,0,"49343",18390,0,0
"1727","GOOCHLAND ","VA ",0,0,"49370",14400,0,0
"1728","GREENSVILLE ","VA ",1,1,"49400",4070,11,0.27027027027027
"1729","HAMPTON CITY ","VA ",6,1,"49411",461771,483,0.104597300393485
"1730","HANOVER ","VA ",2,0,"49420",228300,53,0.0232150678931231
"1731","HARRISONBURG CITY ","VA ",1,0,"49421",26994,21,0.0777950655701267
"1732","HENRICO ","VA ",5,0,"49430",709654,223,0.0314237642569478
"1733","HOPEWELL CITY ","VA ",0,0,"49451",26334,0,0
"1734","ISLE OF WIGHT ","VA ",1,0,"49460",39896,14,0.0350912372167636
"1735","JAMES CITY ","VA ",2,1,"49470",55520,68,0.122478386167147
"1736","KING AND QUEEN ","VA ",0,0,"49480",2390,0,0
"1737","KING GEORGE ","VA ",0,0,"49490",8720,0,0
"1738","KING WILLIAM ","VA ",0,0,"49500",13206,0,0
"1739","LEXINGTON CITY ","VA ",0,0,"49522",9045,0,0
"1740","LOUDOUN ","VA ",1,1,"49530",411684,785,0.190680230468029
"1741","LUNENBURG ","VA ",1,1,"49550",12294,33,0.268423621278673
"1742","LYNCHBURG CITY ","VA ",2,1,"49551",232245,166,0.0714762427608775
"1744","MANASSAS CITY ","VA ",1,1,"49563",81480,133,0.163230240549828
"1745","MANASSAS PARK CITY ","VA ",1,0,"49565",0,73,Inf
"1743","MARTINSVILLE CITY ","VA ",1,0,"49561",34165,27,0.0790282452802576
"1746","MATHEWS ","VA ",1,1,"49570",13644,12,0.0879507475813544
"1747","NEW KENT ","VA ",0,0,"49621",13950,0,0
"1748","NEWPORT NEWS CITY ","VA ",6,1,"49622",412290,480,0.116422906206796
"1749","NORFOLK CITY ","VA ",2,1,"49641",627682,203,0.0323412173680303
"1750","NORTON CITY ","VA ",2,2,"49661",4275,131,3.06432748538012
"1751","NOTTOWAY ","VA ",1,0,"49670",16260,15,0.0922509225092251
"1752","PATRICK ","VA ",1,1,"49700",25638,27,0.10531242686637
"1753","PETERSBURG CITY ","VA ",1,0,"49701",102440,28,0.0273330730183522
"1754","PITTSYLVANIA ","VA ",3,2,"49710",90890,119,0.130927494773903
"1756","POQUOSON CITY ","VA ",0,0,"49712",3412,0,0
"1755","PORTSMOUTH CITY ","VA ",2,1,"49711",228522,136,0.0595128696580636
"1757","POWHATAN ","VA ",0,0,"49720",28782,0,0
"1758","PRINCE EDWARD ","VA ",1,0,"49730",31968,14,0.0437937937937938
"1759","PRINCE GEORGE ","VA ",0,0,"49740",16536,0,0
"1760","PRINCE WILLIAM ","VA ",2,1,"49750",522090,1483,0.284050642609512
"1761","RADFORD ","VA ",0,0,"49771",7317,0,0
"1762","RAPPAHANNOCK ","VA ",0,0,"49780",1625,0,0
"1763","RICHMOND CITY ","VA ",4,1,"49791",729467,301,0.0412630043579764
"1764","ROANOKE ","VA ",3,1,"49800",128376,109,0.0849068361687543
"1765","ROANOKE CITY ","VA ",3,0,"49801",250060,182,0.0727825321922739
"1766","ROCKBRIDGE ","VA ",2,2,"49810",25660,72,0.280592361652377
"1767","SHENANDOAH ","VA ",1,0,"49850",46374,14,0.0301893302281451
"1768","SMYTH ","VA ",2,2,"49860",75900,83,0.10935441370224
"1769","SOUTHAMPTON ","VA ",1,1,"49870",7203,21,0.291545189504373
"1770","SPOTSYLVANIA ","VA ",1,0,"49880",126340,25,0.0197878739908184
"1771","STAUNTON CITY ","VA ",0,0,"49891",44394,0,0
"1772","SUFFOLK CITY ","VA ",2,1,"49892",92904,96,0.103332472229398
"1773","VIRGINIA BEACH CITY ","VA ",3,0,"49921",1983198,203,0.0102359925736109
"1774","WAYNESBORO CITY ","VA ",0,0,"49951",24524,0,0
"1775","WILLIAMSBURG CITY ","VA ",0,0,"49961",24684,0,0
"1776","WINCHESTER CITY ","VA ",0,0,"49962",25568,0,0
"1777","WYTHE ","VA ",2,1,"49980",20061,52,0.259209411295549
"1696","SAINT CROIX ","VI ",5,4,"48010",159064,405,0.254614494794548
"1697","SAINT JOHN ","VI ",0,0,"48020",136480,0,0
"1688","ADDISON ","VT ",0,0,"47000",24425,0,0
"1689","BENNINGTON ","VT ",0,0,"47010",67041,0,0
"1690","CALEDONIA ","VT ",0,0,"47020",26475,0,0
"1691","CHITTENDEN ","VT ",0,0,"47030",303616,0,0
"1692","GRAND ISLE ","VT ",0,0,"47060",2378,0,0
"1693","LAMOILLE ","VT ",0,0,"47070",21804,0,0
"1694","RUTLAND ","VT ",0,0,"47100",125340,0,0
"1695","WINDSOR ","VT ",0,0,"47130",143312,0,0
"1778","ASOTIN ","WA ",1,1,"50010",45430,117,0.257539071098393
"1779","CHELAN ","WA ",2,1,"50030",170696,223,0.130641608473544
"1780","CLALLAM ","WA ",4,0,"50040",399168,210,0.0526094276094276
"1781","COWLITZ ","WA ",6,3,"50070",437320,5367,1.22724778194457
"1782","FERRY ","WA ",1,1,"50090",5200,32,0.615384615384615
"1783","GRAYS HARBOR ","WA ",4,2,"50130",165504,429,0.259208236658933
"1784","ISLAND ","WA ",3,3,"50140",278484,2203,0.791068786716651
"1785","KING ","WA ",15,2,"50160",21641800,41880,0.193514402683695
"1786","KITSAP ","WA ",5,1,"50170",1182528,3719,0.314495724414136
